Partlist

Exported from OSHintosh v23.sch at 20/Mar/26 10:36

EAGLE Version 9.7.0 Copyright (c) 1988-2026 Autodesk, Inc.

Assembly variant: 

Part     Value                Device                       Package                      Library                 Sheet
R48      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R49      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R50      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R51      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R52      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R53      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R54      1k                   1K_TH_RESISTOR               RESISTORTHRUHOLE             Resistors TH            1
R55      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R56      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R57      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R58      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R59      2k2                  2K2_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R60      2k2                  2K2_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R61      2k2                  2K2_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R62      2k2                  2K2_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R63      2k2                  2K2_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R64      2k2                  2K2_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R65      2k2                  2K2_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R66      2k2                  2K2_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R67      2k2                  2K2_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R68      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R69      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R70      47k                  47K_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R71      680R                 680R_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R72      75R                  75R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R73      100k                 100K_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R74      1k                   1K_TH_RESISTOR               RESISTORTHRUHOLE             Resistors TH            1
R76      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R77      3k3                  3K3_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R78      3k3                  3K3_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R79      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R80      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R82      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R83      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R84      1k                   1K_TH_RESISTOR               RESISTORTHRUHOLE             Resistors TH            1
R85      2k                   2K_TH_RESISTOR               RESISTORTHRUHOLE             Resistors TH            1
R86      4k02                 4K02_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R87      8k06                 8K06_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R88      499R                 499R_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R89      1k                   1K_TH_RESISTOR               RESISTORTHRUHOLE             Resistors TH            1
R90      2k                   2K_TH_RESISTOR               RESISTORTHRUHOLE             Resistors TH            1
R91      4k02                 4K02_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R92      8k06                 8K06_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R93      499R                 499R_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R94      1k                   1K_TH_RESISTOR               RESISTORTHRUHOLE             Resistors TH            1
R95      2k                   2K_TH_RESISTOR               RESISTORTHRUHOLE             Resistors TH            1
R96      4k02                 4K02_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R97      8k06                 8K06_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R98      499R                 499R_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R99      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R100     22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R101     22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R102     DNF                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R103     DNF                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R104     DNF                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
SW1      DTS-61               DIP_TACT_SWITCH_6X6TH        DIP_DTS_6_TACT_SWITCH_6X6_TH Switches                1
SW2      DTS-61               DIP_TACT_SWITCH_6X6TH        DIP_DTS_6_TACT_SWITCH_6X6_TH Switches                1
SW3      SS12D16-GDN5         SS12D16-GDN5                 THRUHOLE90DEGSLIDESW         Switches                1
VREG1    LM7905               7905T                        TO220H                       linear                  1
